supplier_id,model_id,price
1,16379,76.0
1,11050,72.0
1,27689,140.0
1,27690,120.0
1,27691,120.0
1,27692,130.0
1,27693,100.0
1,27694,130.0
1,27695,130.0
1,27696,150.0
1,11040,155.0
1,11045,50.0
1,12927,25.0
1,26746,340.0
1,26747,390.0
1,12915,18.0
1,12916,27.0
1,12917,56.0
1,12912,21.0
1,12913,39.0
1,12914,80.0
1,12909,23.0
1,12910,44.0
1,12911,87.0
1,27527,350.0
1,27526,625.0
1,11071,360.0
1,11072,447.0
1,6510,600.0
1,28447,625.0
1,28448,695.0
1,25349,310.0
1,25341,300.0
1,25343,300.0
1,25335,345.0
1,25350,320.0
1,25342,320.0
1,25344,320.0
1,25336,370.0
1,25361,465.0
1,25367,420.0
1,25365,450.0
1,25369,490.0
1,25359,425.0
1,25363,440.0
1,25362,485.0
1,25368,440.0
1,25366,470.0
1,25370,510.0
1,25360,430.0
1,25364,450.0
1,25303,310.0
1,25305,400.0
1,25379,490.0
1,25373,420.0
1,25375,450.0
1,25377,490.0
1,25381,490.0
1,25384,410.0
1,12996,295.0
1,12995,350.0
1,12997,320.0
1,12994,400.0
1,24797,460.0
1,24800,460.0
1,24801,460.0
1,28441,615.0
1,28443,615.0
1,25046,1280.0
1,27239,450.0
1,27240,470.0
1,27244,430.0
1,27245,430.0
1,27246,440.0
1,27243,490.0
1,6360,45.0
1,28093,55.0
1,28094,65.0
1,13345,80.0
1,12992,155.0
1,12993,185.0
1,28409,40.0
1,3,38.0
1,27715,41.0
1,10924,45.0
1,10923,60.0
1,28411,53.0
1,12953,25.0
1,12952,25.0
1,28410,85.0
1,12951,60.0
1,27714,67.0
1,6349,33.0
1,6354,40.0
1,2696,25.0
1,28092,52.0
1,2701,50.0
1,2697,55.0
1,2703,60.0
1,2695,70.0
1,2699,115.0
1,2704,28.0
1,2702,40.0
1,13008,70.0
1,13009,20.0
1,356,17.0
1,355,28.0
1,357,32.0
1,28045,27.0
1,354,41.0
1,13013,18.0
1,13012,29.0
1,13014,35.0
1,13010,38.0
1,13011,43.0
1,8,20.0
1,3050,22.0
1,3053,25.0
1,24382,124.0
1,2843,46.0
1,2844,46.0
1,339,33.0
1,10947,33.0
1,10945,25.0
1,10946,25.0
1,10944,31.0
1,11005,124.0
1,11006,124.0
1,11009,41.0
1,11010,41.0
1,28049,140.0
1,2117,67.0
1,2118,90.0
1,11039,70.0
1,13176,100.0
1,25172,100.0
1,26814,128.0
1,27477,155.0
1,27198,177.0
1,13178,60.0
1,26813,87.0
1,27366,73.0
1,27197,95.0
1,27365,105.0
1,13179,158.0
1,13175,205.0
1,27282,185.0
1,27281,280.0
1,25021,320.0
1,25020,410.0
1,28050,500.0
1,13180,490.0
1,27478,460.0
1,27476,590.0
1,25206,150.0
1,26752,200.0
1,26753,200.0
1,26754,200.0
1,25213,158.0
1,25211,225.0
1,27269,65.0
1,27268,92.0
1,27270,109.0
1,27727,22.0
1,27729,205.0
1,27730,215.0
1,27731,270.0
1,28415,135.0
1,27732,55.0
1,12962,295.0
1,27523,340.0
1,12960,346.0
1,24462,460.0
1,28039,585.0
1,28412,605.0
1,13024,390.0
1,2689,105.0
1,2691,130.0
1,13103,87.0
1,13104,102.0
1,13117,85.0
1,13118,100.0
1,13114,143.0
1,13115,200.0
1,13109,170.0
1,13110,270.0
1,13111,475.0
1,27265,155.0
1,27266,200.0
1,28046,185.0
1,28047,265.0
1,28048,420.0
1,13122,19.0
1,13123,21.0
1,13124,25.0
1,13125,41.0
1,13126,59.0
1,4,40.0
1,27335,75.0
1,5,88.0
1,27336,125.0
1,2692,32.0
1,2693,72.0
1,6115,95.0
1,6113,84.0
1,6114,87.0
1,6571,120.0
1,12955,35.0
