model_id,min_price_old,min_price_new,date,status
920,1050.0,950.0,2025-02-04,None
921,1000.0,1100.0,2025-03-18,None
922,1000.0,1100.0,2025-03-18,None
923,1300.0,1480.0,2025-01-04,None
924,1300.0,1480.0,2025-01-04,None
925,,,,None
926,,,,None
927,,,,None
928,,1100.0,2024-08-14,None
929,930.0,925.0,2025-03-06,None
930,930.0,925.0,2025-03-06,None
931,1180.0,1150.0,2025-04-03,None
932,1180.0,1150.0,2025-04-03,None
933,1450.0,1550.0,2024-11-07,None
934,1450.0,1550.0,2024-11-07,None
935,2000.0,1700.0,2024-12-11,None
936,2000.0,1700.0,2024-12-11,None
937,1050.0,1040.0,2024-12-04,None
938,1050.0,1040.0,2024-12-04,None
939,1050.0,1040.0,2024-12-04,None
940,1050.0,1040.0,2024-12-04,None
941,1270.0,1250.0,2024-10-16,None
942,1270.0,1250.0,2024-10-16,None
943,1270.0,1250.0,2024-10-16,None
944,1270.0,1250.0,2024-10-16,None
945,,,,None
946,,,,None
947,,,,None
948,,,,None
949,,,,None
950,,,,None
951,,,,None
952,,,,None
953,1550.0,1420.0,2024-10-16,None
954,1550.0,1420.0,2024-10-16,None
955,1550.0,1420.0,2024-10-16,None
956,1550.0,1420.0,2024-10-16,None
957,1650.0,1550.0,2024-10-16,None
958,1650.0,1550.0,2024-10-16,None
959,1650.0,1550.0,2024-10-16,None
960,1650.0,1550.0,2024-10-16,None
961,1900.0,1700.0,2024-10-16,None
962,1900.0,1700.0,2024-10-16,None
963,1900.0,1700.0,2024-10-16,None
964,1900.0,1700.0,2024-10-16,None
965,,,,None
966,,,,None
967,,,,None
968,,,,None
969,,,,None
970,,,,None
971,,,,None
972,,,,None
973,,,,None
974,,,,None
975,,,,None
976,,,,None
977,,,,None
978,,,,None
979,,,,None
980,,,,None
981,,,,None
982,,,,None
983,,,,None
984,,,,None
985,800.0,790.0,2024-12-12,None
986,800.0,790.0,2024-12-12,None
987,800.0,790.0,2024-12-12,None
988,800.0,790.0,2024-12-12,None
989,1070.0,1065.0,2024-11-07,None
990,1070.0,1065.0,2024-11-07,None
991,1070.0,1065.0,2024-11-07,None
992,1070.0,1065.0,2024-11-07,None
993,,,,None
994,,,,None
995,,,,None
996,,,,None
997,,,,None
998,,,,None
999,,,,None
1000,,,,None
1001,1250.0,1170.0,2024-12-04,None
1002,1250.0,1170.0,2024-12-04,None
1003,1250.0,1170.0,2024-12-04,None
1004,1250.0,1170.0,2024-12-04,None
1005,1400.0,1300.0,2024-12-04,None
1006,1400.0,1300.0,2024-12-04,None
1007,1400.0,1300.0,2024-12-04,None
1008,1400.0,1300.0,2024-12-04,None
1009,,1800.0,2024-10-16,None
1010,,1800.0,2024-10-16,None
1011,,1800.0,2024-10-16,None
1012,,1800.0,2024-10-16,None
1013,,,,None
1014,,,,None
1015,,,,None
1016,,,,None
1017,,1850.0,2024-10-16,None
1018,,1850.0,2024-10-16,None
1019,,1850.0,2024-10-16,None
1020,,1850.0,2024-10-16,None
1021,,2100.0,2024-10-16,None
1022,,2100.0,2024-10-16,None
1023,,2100.0,2024-10-16,None
1024,,2100.0,2024-10-16,None
1025,,2250.0,2024-10-16,None
1026,,2250.0,2024-10-16,None
1027,,2250.0,2024-10-16,None
1028,,2250.0,2024-10-16,None
1029,,2350.0,2024-10-16,None
1030,,2350.0,2024-10-16,None
1031,,2350.0,2024-10-16,None
1032,,2350.0,2024-10-16,None
1033,,,,None
1034,,,,None
1035,,,,None
1036,,,,None
1037,,,,None
1038,,,,None
1039,,,,None
1040,,,,None
1041,,,,None
1042,,,,None
1043,,,,None
1044,,,,None
1045,2650.0,2770.0,2024-12-19,None
1046,2650.0,2770.0,2024-12-19,None
1047,,,,None
1048,,,,None
1049,,,,None
1050,,,,None
1051,,,,None
1052,,,,None
1053,,,,None
1054,,,,None
1055,3300.0,3200.0,2024-12-19,None
1056,3300.0,3200.0,2024-12-19,None
1057,,,,None
1058,,,,None
1059,,,,None
1060,,,,None
1061,,,,None
1062,,,,None
1063,,,,None
1064,,,,None
1065,5000.0,4400.0,2024-12-19,None
1066,5000.0,4400.0,2024-12-19,None
1067,,,,None
1068,,,,None
1069,,,,None
1070,,,,None
1071,,,,None
1072,,,,None
1073,,,,None
1074,,,,None
1075,,,,None
1076,,,,None
1077,,,,None
1078,,,,None
1079,,,,None
1080,,,,None
1081,,,,None
1082,,,,None
1083,,,,None
1084,,,,None
1085,,6180.0,2024-10-16,None
1086,,6180.0,2024-10-16,None
1087,,,,None
1088,,,,None
1089,,6200.0,2024-08-14,None
1090,,6200.0,2024-08-14,None
1091,,,,None
1092,,,,None
1093,1250.0,1240.0,2024-12-12,None
1094,1250.0,1240.0,2024-12-12,None
1095,1250.0,1240.0,2024-12-12,None
1096,1460.0,1450.0,2024-11-27,None
1097,1460.0,1450.0,2024-11-27,None
